CONCEPTICON_GLOSS	POS_Tag
ALL	PRON
ASH	NOUN
BARK	NOUN
BELLY	NOUN
BIG	ADJ
BIRD	NOUN
BITE	VERB
BLACK	ADJ
BLOOD	NOUN
BONE	NOUN
BREAST	NOUN
BURN	VERB
CLAW	NOUN
CLOUD	NOUN
COLD	ADJ
COME	VERB
DIE	VERB
DOG	NOUN
DRINK	VERB
DRY	ADJ
EAR	NOUN
EARTH (SOIL)	NOUN
EAT	VERB
EGG	NOUN
EYE	NOUN
FAT (ORGANIC SUBSTANCE)	NOUN
FEATHER	NOUN
FIRE	NOUN
FISH	NOUN
FLY (MOVE THROUGH AIR)	VERB
FOOT	NOUN
FULL	ADJ
GIVE	VERB
GOOD	ADJ
GREEN	ADJ
HAIR	NOUN
HAND	NOUN
HEAD	NOUN
HEAR	VERB
HEART	NOUN
HORN (ANATOMY)	NOUN
I	PRON
KILL	VERB
KNEE	NOUN
KNOW (SOMETHING)	VERB
LEAF	NOUN
LIE (REST)	VERB
LIVER	NOUN
LONG	ADJ
LOUSE	NOUN
MAN	NOUN
MANY	PRON
FLESH OR MEAT	NOUN
MOON	NOUN
MOUNTAIN	NOUN
MOUTH	NOUN
NAME	NOUN
NECK	NOUN
NEW	ADJ
NIGHT	NOUN
NOSE	NOUN
NOT	PART
ONE	NUM
PERSON	NOUN
RAINING OR RAIN	NOUN
RED	NOUN
ROAD	NOUN
ROOT	NOUN
ROUND	ADJ
SAND	NOUN
SAY	VERB
SEE	VERB
SEED	NOUN
SIT	VERB
SKIN	NOUN
SLEEP	VERB
SMALL	ADJ
SMOKE (EXHAUST)	NOUN
STAND	VERB
STAR	NOUN
STONE	NOUN
SUN	NOUN
SWIM	VERB
TAIL	NOUN
THAT	PRON
THIS	PRON
THOU	PRO
TONGUE	NOUN
TOOTH	NOUN
TREE	NOUN
TWO	NUM
WALK	VERB
HOT OR WARM	ADJ
WATER	NOUN
WE	PRON
WHAT	PRON
WHITE	NOUN
WHO	PRON
WOMAN	NOUN
YELLOW	ADJ
