CONCEPTICON_GLOSS	FREQUENCY	PRESENT	ABSENT
BED	17	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	None
TABLE	16	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	vanDort-2007-50
APPLE	16	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	vanDort-2007-50
AIRPLANE	16	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	vanDort-2007-50
BUTTERFLY	16	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	vanDort-2007-50
ANT	16	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	vanDort-2007-50
RHINOCEROS	16	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Rogic-2013-346
CAMEL	16	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Hwang-2021-60
HOUSE	16	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Hwang-2021-60
SAW	16	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Hwang-2021-60
SNAIL	16	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Hwang-2021-60
GUITAR	15	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Bangalore-2022-180; Ramanujan-2019-158
TIGER	15	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; vanDort-2007-50
SPECTACLES	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	MorenoMartinez-2012-360; vanDort-2007-50
SQUIRREL	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	MorenoMartinez-2012-360; Shao-2016-327
GRAPE	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2022-500; vanDort-2007-50
SHEARS	15	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Bangalore-2022-180; MorenoMartinez-2012-360
